********************************
1. MODE
********************************
mode	cnum	inum
…柳寻花	2	觅柳寻花,问柳寻花
…毫不取	2	一毫不取,分毫不取
…笔难书	2	磬笔难书,罄笔难书
…口如瓶	2	守口如瓶,缄口如瓶
…蛇吞象	2	一蛇吞象,巴蛇吞象
…徨歧途	2	彷徨歧途,旁徨歧途
…陋就简	2	因陋就简,将陋就简
…斯塔姆	2	克斯塔姆,纳斯塔姆
…电感应	2	心电感应,静电感应
…斥八极	2	挥斥八极,麾斥八极
…党营私	2	植党营私,结党营私
…肉之叹	2	脾肉之叹,髀肉之叹
…时处理	2	分时处理,实时处理
…操胜券	2	必操胜券,稳操胜券
…官显宦	2	贵官显宦,达官显宦
…本舍末	2	逐本舍末,遵本舍末
…州市区	2	广州市区,杭州市区
…及豚鱼	2	信及豚鱼,化及豚鱼
…尔蹴尔	2	呼尔蹴尔,嘑尔蹴尔
…态绑定	2	动态绑定,静态绑定
…耘伤岁	2	枯耘伤岁,楛耘伤岁
…年有余	2	年年有余,连年有余
…东旅游	2	华东旅游,广东旅游
…制设备	2	控制设备,缝制设备
…光如豆	2	目光如豆,眼光如豆
…模作样	2	妆模作样,装模作样
…瓜徒悬	2	匏瓜徒悬,瓠瓜徒悬
…效精神	2	强效精神,极效精神
…尝不可	2	何尝不可,未尝不可
…业经济	2	农业经济,工业经济
…面之识	2	一面之识,半面之识
…病九痛	2	八病九痛,十病九痛
…约偷期	2	密约偷期,暗约偷期
…费管理	2	收费管理,计费管理
…戢干戈	2	倒戢干戈,载戢干戈
…高眼低	2	手高眼低,眉高眼低
…赴汤火	2	如赴汤火,蹈赴汤火
…三角形	2	呈三角形,正三角形
…荦大者	2	卓荦大者,荦荦大者
…生之年	2	有生之年,犹生之年
…鼠开泰	2	三鼠开泰,金鼠开泰
…天叫地	2	呼天叫地,哀天叫地
…斤注两	2	秤斤注两,称斤注两
…命之恩	2	救命之恩,活命之恩
…生动物	2	原生动物,野生动物
…利维亚	2	奥利维亚,玻利维亚
…天无日	2	无天无日,有天无日
…心适意	2	像心适意,称心适意
…恋不舍	2	恋恋不舍,留恋不舍
…竹难书	2	磬竹难书,罄竹难书
…张扬厉	2	敷张扬厉,铺张扬厉
…鹤扬州	2	跨鹤扬州,骑鹤扬州
…魂荡魄	2	失魂荡魄,销魂荡魄
…不守舍	2	神不守舍,魂不守舍
…如凝脂	2	肤如凝脂,面如凝脂
…贵有恒	2	人贵有恒,学贵有恒
…十四岁	2	三十四岁,二十四岁
…动主体	2	活动主体,移动主体
…鸣惊人	2	一鸣惊人,大鸣惊人
…身洁行	2	修身洁行,脩身洁行
…两面派	2	搞两面派,耍两面派
…志难酬	2	壮志难酬,有志难酬
…待蓍龟	2	不待蓍龟,无待蓍龟
…石心肠	2	木石心肠,铁石心肠
…息千里	2	一息千里,瞬息千里
…坐愁城	2	日坐愁城,独坐愁城
…球比赛	2	篮球比赛,足球比赛
…生之德	2	再生之德,好生之德
…言细语	2	绵言细语,轻言细语
…体力行	2	身体力行,躬体力行
…斯迪尔	2	伊斯迪尔,哈斯迪尔
…润而雨	2	础润而雨,礎润而雨
…口籍籍	2	众口籍籍,衆口籍籍
…见多闻	2	博见多闻,多见多闻
…势凌人	2	倚势凌人,席势凌人
…死靡他	2	之死靡他,至死靡他
…忧极瘁	2	单忧极瘁,殚忧极瘁
…操作性	2	互操作性,可操作性
…了不起	2	最了不起,真了不起
…寿延年	2	益寿延年,祝寿延年
…世骇俗	2	惊世骇俗,高世骇俗
…世英雄	2	乱世英雄,盖世英雄
…风遗韵	2	流风遗韵,留风遗韵
…任愉快	2	勝任愉快,胜任愉快
…出必行	2	令出必行,言出必行
…出无奈	2	事出无奈,计出无奈
…使护符	2	信使护符,圣使护符
…头政治	2	寡头政治,独头政治
…荫蔽日	2	浓荫蔽日,绿荫蔽日
…画下载	2	动画下载,漫画下载
…僝雨僽	2	風僝雨僽,风僝雨僽
…胜头回	2	得胜头回,德胜头回
…京旅游	2	北京旅游,南京旅游
…时消息	2	与时消息,即时消息
…相沉积	2	海相沉积,陆相沉积
…影突袭	2	幽影突袭,暗影突袭
…巴利脆	2	乾巴利脆,干巴利脆
…炒热卖	2	热炒热卖,生炒热卖
…标代理	2	商标代理,招标代理
…务操作	2	内务操作,实务操作
…具制造	2	家具制造,模具制造
…而不露	2	含而不露,秘而不露
…乐世界	2	安乐世界,极乐世界
…心莫测	2	人心莫测,居心莫测
…朱傅粉	2	施朱傅粉,调朱傅粉
…地自容	2	无地自容,毛地自容
…精极虑	2	殚精极虑,研精极虑
…年之后	2	万年之后,百年之后
…扫千军	2	横扫千军,笔扫千军
…克拉夫	2	基克拉夫,洛克拉夫
…里糊涂	2	稀里糊涂,糊里糊涂
…接选举	2	直接选举,间接选举
…手遮天	2	一手遮天,只手遮天
…生涂炭	2	民生涂炭,苍生涂炭
…惊胆颤	2	心惊胆颤,魂惊胆颤
…臭万年	2	贻臭万年,遗臭万年
…调度性	2	可调度性,易调度性
…势熏灼	2	声势熏灼,气势熏灼
…力齐心	2	协力齐心,戮力齐心
…愤填胸	2	义愤填胸,气愤填胸
…危为安	2	变危为安,转危为安
…域风情	2	异域风情,易域风情
…花大鼓	2	梅花大鼓,梨花大鼓
…面几何	2	平面几何,球面几何
…坠天花	2	乱坠天花,口坠天花
…归道山	2	久归道山,已归道山
…情盛意	2	聋情盛意,隆情盛意
…己度人	2	以己度人,审己度人
…令如山	2	军令如山,号令如山
…兵粟马	2	历兵粟马,厉兵粟马
…育人材	2	乐育人材,作育人材
…皮短裤	2	轻皮短裤,黑皮短裤
…无其事	2	如无其事,若无其事
…声细气	2	偷声细气,细声细气
…级耐力	2	初级耐力,次级耐力
…诚布信	2	开诚布信,推诚布信
…头晃脑	2	摇头晃脑,颠头晃脑
…字部件	2	成字部件,汉字部件
…高枝儿	2	巴高枝儿,攀高枝儿
…文并茂	2	图文并茂,情文并茂
…生取义	2	舍生取义,释生取义
…三惑四	2	疑三惑四,调三惑四
…在脑后	2	丢在脑后,撇在脑后
…墙之衅	2	萧墙之衅,阋墙之衅
…雨如晦	2	風雨如晦,风雨如晦
…木魔杖	2	漆木魔杖,焦木魔杖
…山大泽	2	名山大泽,深山大泽
…势分析	2	形势分析,走势分析
…害就利	2	违害就利,避害就利
…动工资	2	劳动工资,浮动工资
…灵护腕	2	刺灵护腕,龟灵护腕
…于乔木	2	迁于乔木,鸣于乔木
…电产品	2	家电产品,机电产品
…弃我取	2	人弃我取,彼弃我取
…然不顾	2	全然不顾,悍然不顾
…月宝珠	2	暗月宝珠,碧月宝珠
…凤一羽	2	威凤一羽,观凤一羽
…多少钱	2	值多少钱,花多少钱
…冷空气	2	弱冷空气,强冷空气
…山玩水	2	游山玩水,观山玩水
…连蔓引	2	株连蔓引,瓜连蔓引
…作制度	2	工作制度,耕作制度
…槌哨塔	2	北槌哨塔,南槌哨塔
…羹鲈脍	2	莼羹鲈脍,蓴羹鲈脍
…藤腰带	2	刺藤腰带,铁藤腰带
…体写真	2	人体写真,裸体写真
…高鹜远	2	好高鹜远,驰高鹜远
…尔电脑	2	戴尔电脑,海尔电脑
…朝晏退	2	早朝晏退,蚤朝晏退
…戈扰攘	2	兵戈扰攘,干戈扰攘
…国历史	2	中国历史,美国历史
…动一时	2	哄动一时,轰动一时
…数家珍	2	如数家珍,若数家珍
…之若惊	2	失之若惊,得之若惊
…专学校	2	中专学校,大专学校
…妙好辞	2	絶妙好辞,绝妙好辞
…头金尽	2	床头金尽,牀头金尽
…驾齐驱	2	并驾齐驱,方驾齐驱
…观者清	2	傍观者清,旁观者清
…天架海	2	擎天架海,檠天架海
…备服务	2	必备服务,设备服务
…天叩地	2	号天叩地,呼天叩地
…光无限	2	春光无限,风光无限
…十字会	2	红十字会,赤十字会
…强不弱	2	逢强不弱,遇强不弱
…泊无定	2	漂泊无定,飘泊无定
…罴百万	2	熊罴百万,雄罴百万
…大西洋	2	北大西洋,跨大西洋
…间谱系	2	时间谱系,空间谱系
…雨凄凄	2	風雨凄凄,风雨凄凄
…精蓄锐	2	储精蓄锐,养精蓄锐
…态网络	2	动态网络,静态网络
…种流传	2	缪种流传,谬种流传
…天冤枉	2	泼天冤枉,活天冤枉
…言泼语	2	恶言泼语,闲言泼语
…型肝炎	2	丙型肝炎,乙型肝炎
…程咨询	2	工程咨询,远程咨询
…情厚意	2	深情厚意,高情厚意
…泪洗面	2	以泪洗面,眼泪洗面
…眉钝眼	2	痴眉钝眼,迟眉钝眼
…昃之劳	2	日昃之劳,旰昃之劳
…名昭彰	2	恶名昭彰,臭名昭彰
…巴利落	2	乾巴利落,干巴利落
…报私仇	2	公报私仇,官报私仇
…绣昼行	2	衣绣昼行,被绣昼行
…艾同焚	2	兰艾同焚,芝艾同焚
…将封侯	2	拜将封侯,败将封侯
…堂拜母	2	升堂拜母,登堂拜母
…收博采	2	兼收博采,旁收博采
…肴美馔	2	佳肴美馔,嘉肴美馔
…泛画涂	2	彗泛画涂,篲泛画涂
…生意外	2	发生意外,变生意外
…台作业	2	前台作业,后台作业
…品展示	2	产品展示,作品展示
…天从人	2	应天从人,顺天从人
…地漫天	2	漫地漫天,遮地漫天
…云攫石	2	拏云攫石,拿云攫石
…川四长	2	潁川四长,颍川四长
…贤远佞	2	亲贤远佞,礼贤远佞
…朋引类	2	分朋引类,呼朋引类
…若冰霜	2	冷若冰霜,凛若冰霜
…睨窥觎	2	睥睨窥觎,聛睨窥觎
…蚊负山	2	使蚊负山,如蚊负山
…朽形秽	2	才朽形秽,木朽形秽
…擅胜场	2	各擅胜场,独擅胜场
…名当世	2	知名当世,驰名当世
…存状态	2	实存状态,生存状态
…从天降	2	喜从天降,祸从天降
…儿卖女	2	卖儿卖女,鬻儿卖女
…铸腰带	2	光铸腰带,魂铸腰带
…价还价	2	要价还价,讨价还价
…天罔地	2	极天罔地,欺天罔地
…往不利	2	何往不利,无往不利
…卵击石	2	以卵击石,投卵击石
…意味着	2	就意味着,这意味着
…姿冶丽	2	丰姿冶丽,风姿冶丽
…间地狱	2	人间地狱,无间地狱
…心雁爪	2	雕心雁爪,鹰心雁爪
…人之忧	2	急人之忧,杞人之忧
…字键盘	2	数字键盘,汉字键盘
…起潮涌	2	風起潮涌,风起潮涌
…土未干	2	抔土未干,陵土未干
…收入者	2	低收入者,高收入者
…渟岳峙	2	川渟岳峙,渊渟岳峙
…路同归	2	异路同归,殊路同归
…利希亚	2	米利希亚,菲利希亚
…天铄地	2	焮天铄地,震天铄地
…皮贼骨	2	贼皮贼骨,顽皮贼骨
…心尽力	2	倾心尽力,尽心尽力
…美主义	2	唯美主义,泛美主义
…心勃勃	2	野心勃勃,雄心勃勃
…富五车	2	书富五车,学富五车
…本买卖	2	折本买卖,赔本买卖
…本经济	2	小本经济,日本经济
…文偃武	2	修文偃武,兴文偃武
…由心造	2	境由心造,福由心造
…性分析	2	党性分析,定性分析
…痹不仁	2	痲痹不仁,麻痹不仁
…育学院	2	体育学院,教育学院
…求多福	2	勉求多福,自求多福
…大眼睛	2	睁大眼睛,瞪大眼睛
…垂千古	2	名垂千古,永垂千古
…限访问	2	受限访问,权限访问
…寸之功	2	分寸之功,尺寸之功
…见天日	2	不见天日,重见天日
…馈控制	2	前馈控制,反馈控制
…穅及米	2	狧穅及米,猦穅及米
…不一失	2	万不一失,百不一失
…齿鳄鱼	2	巨齿鳄鱼,盐齿鳄鱼
…贸大学	2	外贸大学,经贸大学
…煞项链	2	血煞项链,魔煞项链
…桃秾李	2	夭桃秾李,幺桃秾李
…天飞机	2	空天飞机,航天飞机
…生岳降	2	崧生岳降,嵩生岳降
…浄利落	2	乾浄利落,干浄利落
…然可见	2	了然可见,昭然可见
…然可观	2	斐然可观,粲然可观
…实主义	2	写实主义,现实主义
…军深入	2	孤军深入,悬军深入
…告诉你	2	不告诉你,难告诉你
…形夺名	2	像形夺名,象形夺名
…己守残	2	专己守残,封己守残
…衣菲食	2	恶衣菲食,浣衣菲食
…功邀赏	2	冒功邀赏,卖功邀赏
…跳如雷	2	暴跳如雷,爆跳如雷
…测仪器	2	检测仪器,监测仪器
…前补偿	2	写前补偿,超前补偿
…色文学	2	情色文学,黄色文学
…趋蚁附	2	蜂趋蚁附,蝇趋蚁附
…爬吊拷	2	綳爬吊拷,绷爬吊拷
…容大雅	2	舂容大雅,雍容大雅
…言乱语	2	胡言乱语,闲言乱语
…权转让	2	产权转让,股权转让
…溃蚁孔	2	堤溃蚁孔,隄溃蚁孔
…年之储	2	九年之储,兼年之储
…之一目	2	网之一目,罗之一目
…崎历落	2	崟崎历落,嵚崎历落
…日无多	2	时日无多,来日无多
…娜妩媚	2	婀娜妩媚,阿娜妩媚
…华日报	2	中华日报,新华日报
…菜求益	2	买菜求益,卖菜求益
…首罪魁	2	功首罪魁,祸首罪魁
…鼓夺旗	2	扯鼓夺旗,撦鼓夺旗
…液喷射	2	毒液喷射,酸液喷射
…视节目	2	影视节目,电视节目
…纹护腿	2	巫纹护腿,石纹护腿
…昧无知	2	愚昧无知,蒙昧无知
…新立异	2	标新立异,求新立异
…动项目	2	活动项目,运动项目
…哩啪啦	2	劈哩啪啦,噼哩啪啦
…汗涔涔	2	大汗涔涔,热汗涔涔
…车羸马	2	弊车羸马,敝车羸马
…途同归	2	异途同归,殊途同归
…业知识	2	专业知识,农业知识
…臂啮指	2	扼臂啮指,搤臂啮指
…作技巧	2	写作技巧,操作技巧
…有攸归	2	罪有攸归,责有攸归
…如珍宝	2	爱如珍宝,视如珍宝
…盾药水	2	石盾药水,铁盾药水
…余时间	2	业余时间,剩余时间
…软筋麻	2	力软筋麻,骨软筋麻
…液琼浆	2	仙液琼浆,玉液琼浆
…长较短	2	赌长较短,量长较短
…料所及	2	使料所及,始料所及
…筋铁骨	2	钢筋铁骨,铜筋铁骨
…门独户	2	单门独户,独门独户
…乱存亡	2	取乱存亡,治乱存亡
…光腕甲	2	明光腕甲,流光腕甲
…兽之爪	2	困兽之爪,野兽之爪
…分辨率	2	多分辨率,高分辨率
…国作家	2	中国作家,美国作家
…不期骄	2	位不期骄,贵不期骄
…序搜索	2	有序搜索,顺序搜索
…不容口	2	谈不容口,赞不容口
…所未见	2	前所未见,见所未见
…有孑遗	2	罔有孑遗,靡有孑遗
…毒面具	2	巫毒面具,防毒面具
…牛之子	2	犁牛之子,犂牛之子
…闾之望	2	倚闾之望,门闾之望
…期调度	2	中期调度,短期调度
…而不费	2	惠而不费,施而不费
…夜未眠	2	一夜未眠,彻夜未眠
…人说梦	2	呆人说梦,痴人说梦
…眉努眼	2	张眉努眼,撑眉努眼
…闻琐事	2	逸闻琐事,遗闻琐事
…冒矢石	2	亲冒矢石,躬冒矢石
…然叹息	2	喟然叹息,忾然叹息
…工传输	2	单工传输,双工传输
…人雅志	2	达人雅志,高人雅志
…国加入	2	中国加入,我国加入
…法自弊	2	为法自弊,作法自弊
…到临头	2	事到临头,死到临头
…垂青史	2	名垂青史,永垂青史
…触即发	2	一触即发,有触即发
…海茫茫	2	人海茫茫,苦海茫茫
…见侧出	2	旁见侧出,横见侧出
…手顿足	2	搓手顿足,摇手顿足
…牌服饰	2	名牌服饰,品牌服饰
…粗挟细	2	拏粗挟细,拿粗挟细
…程控制	2	过程控制,远程控制
…牙之刃	2	空牙之刃,龙牙之刃
…少气锐	2	年少气锐,齿少气锐
…娇金屋	2	藏娇金屋,阿娇金屋
…于启齿	2	羞于启齿,难于启齿
…誉沽名	2	吊誉沽名,钓誉沽名
…斯特里	2	卡斯特里,歇斯特里
…动关系	2	互动关系,劳动关系
…名远播	2	丑名远播,声名远播
…义凛然	2	大义凛然,正义凛然
…衣而起	2	拂衣而起,振衣而起
…垢索瘢	2	吹垢索瘢,洗垢索瘢
…性认识	2	感性认识,理性认识
…天塞地	2	充天塞地,漫天塞地
…戈回日	2	挥戈回日,鲁戈回日
…前马后	2	鞍前马后,驴前马后
…长絜短	2	度长絜短,较长絜短
…仲叔季	2	伯仲叔季,孟仲叔季
…式描述	2	形式描述,模式描述
…合开发	2	综合开发,联合开发
…眉举案	2	画眉举案,齐眉举案
…兵动众	2	兴兵动众,起兵动众
…情物理	2	人情物理,民情物理
…兰之交	2	芝兰之交,金兰之交
…觚为圆	2	削觚为圆,破觚为圆
…旬九食	2	三旬九食,二旬九食
…疥之疾	2	疮疥之疾,癣疥之疾
…有可能	2	很有可能,极有可能
…断义绝	2	思断义绝,恩断义绝
…理模式	2	物理模式,管理模式
…民代表	2	人民代表,村民代表
…力建设	2	电力建设,能力建设
…中甲兵	2	胸中甲兵,腹中甲兵
…业守成	2	保业守成,创业守成
…才济济	2	人才济济,贤才济济
…久弊生	2	日久弊生,积久弊生
…等学校	2	中等学校,高等学校
…中历史	2	初中历史,高中历史
…恩图报	2	感恩图报,知恩图报
…频格式	2	视频格式,音频格式
…起炉竈	2	另起炉竈,重起炉竈
…为茂草	2	鞠为茂草,鞫为茂草
…精竭力	2	殚精竭力,疲精竭力
…明彻亮	2	鋥明彻亮,锃明彻亮
…足重茧	2	双足重茧,手足重茧
…装市场	2	家装市场,服装市场
…虫粘液	2	幼虫粘液,蛆虫粘液
…车配件	2	叉车配件,汽车配件
…逢敌手	2	棋逢敌手,碁逢敌手
…情假意	2	假情假意,虚情假意
…虎相斗	2	两虎相斗,二虎相斗
…空四海	2	目空四海,眼空四海
…工巧匠	2	能工巧匠,良工巧匠
…一当十	2	以一当十,用一当十
…门塞窦	2	杜门塞窦,闭门塞窦
…不厌诈	2	兵不厌诈,军不厌诈
…面百城	2	南面百城,富面百城
…胜之地	2	形胜之地,执胜之地
…鸣犬吠	2	驴鸣犬吠,鸡鸣犬吠
…袍粝食	2	粗袍粝食,麤袍粝食
…眉怒目	2	横眉怒目,直眉怒目
…山煮海	2	摘山煮海,铸山煮海
…益匪浅	2	受益匪浅,获益匪浅
…东忘西	2	説东忘西,说东忘西
…兰纳尔	2	多兰纳尔,萨兰纳尔
…国人妖	2	中国人妖,泰国人妖
…在眼前	2	祸在眼前,近在眼前
…间伺隙	2	乘间伺隙,窥间伺隙
…骥之蝇	2	托骥之蝇,讬骥之蝇
…圭断璧	2	残圭断璧,零圭断璧
…材录用	2	量材录用,随材录用
…浆箪食	2	壶浆箪食,壸浆箪食
…怒民怨	2	天怒民怨,神怒民怨
…月当空	2	皓月当空,秋月当空
…茧抽丝	2	剥茧抽丝,独茧抽丝
…么多人	2	这么多人,那么多人
…留学生	2	女留学生,小留学生
…木诅咒	2	冷木诅咒,死木诅咒
…昼卜夜	2	以昼卜夜,卜昼卜夜
…行测试	2	运行测试,进行测试
…乐论坛	2	娱乐论坛,音乐论坛
…愁万斛	2	乾愁万斛,干愁万斛
…饱眼福	2	一饱眼福,大饱眼福
…清月皎	2	風清月皎,风清月皎
…护祝福	2	保护祝福,庇护祝福
…费邮箱	2	免费邮箱,收费邮箱
…不为例	2	下不为例,后不为例
…客夺主	2	喧客夺主,諠客夺主
…鱼垂化	2	宵鱼垂化,霄鱼垂化
…国汽车	2	中国汽车,我国汽车
…以塞责	2	无以塞责,聊以塞责
…试工具	2	测试工具,调试工具
…枉过正	2	挢枉过正,矫枉过正
…心向背	2	人心向背,民心向背
…石法杖	2	塑石法杖,火石法杖
…当益壮	2	老当益壮,衰当益壮
…牙护腿	2	尖牙护腿,狼牙护腿
…虿之谗	2	盅虿之谗,蛊虿之谗
…一确二	2	丁一确二,的一确二
…玉项链	2	黄玉项链,黑玉项链
…门逐户	2	挨门逐户,排门逐户
…世济民	2	救世济民,经世济民
…速射击	2	快速射击,急速射击
…文网站	2	中文网站,英文网站
…祸飞灾	2	惨祸飞灾,横祸飞灾
…氟沙星	2	氧氟沙星,诺氟沙星
…控制器	2	域控制器,微控制器
…速时间	2	减速时间,加速时间
…骨废墟	2	噬骨废墟,白骨废墟
…权夺利	2	争权夺利,攘权夺利
…坚陷阵	2	冲坚陷阵,摧坚陷阵
…聋装哑	2	推聋装哑,装聋装哑
…城深池	2	坚城深池,高城深池
…心所向	2	人心所向,民心所向
…脚书橱	2	两脚书橱,有脚书橱
…务咨询	2	业务咨询,财务咨询
…兵天将	2	天兵天将,神兵天将
…半天儿	2	早半天儿,晚半天儿
…古不化	2	泥古不化,食古不化
…山傍水	2	依山傍水,倚山傍水
…壁上观	2	从壁上观,作壁上观
…斋绣佛	2	持斋绣佛,长斋绣佛
…幻小说	2	玄幻小说,科幻小说
…级领导	2	上级领导,各级领导
…文主义	2	人文主义,沙文主义
…辕卧辙	2	扳辕卧辙,攀辕卧辙
…序综合	2	时序综合,程序综合
…鬼蛇神	2	牛鬼蛇神,龙鬼蛇神
…理机构	2	代理机构,管理机构
…东说西	2	指东说西,道东说西
…科大学	2	医科大学,药科大学
…所未闻	2	前所未闻,闻所未闻
…林郭勒	2	锡林郭勒,霍林郭勒
…风裂谷	2	北风裂谷,南风裂谷
…分势弱	2	兵分势弱,力分势弱
…字编码	2	数字编码,汉字编码
…冲牛斗	2	志冲牛斗,气冲牛斗
…转推托	2	展转推托,辗转推托
…林大盗	2	緑林大盗,绿林大盗
…牛归马	2	休牛归马,放牛归马
…下其手	2	上下其手,高下其手
…视反听	2	内视反听,收视反听
…所不及	2	力所不及,无所不及
…会议厅	2	北会议厅,南会议厅
…声不吭	2	一声不吭,不声不吭
…极人臣	2	位极人臣,贵极人臣
…标语言	2	目标语言,置标语言
…诚布公	2	开诚布公,推诚布公
…家债主	2	冤家债主,怨家债主
…曲之见	2	一曲之见,乡曲之见
…阱下石	2	投阱下石,落阱下石
…水楼台	2	临水楼台,近水楼台
…险犯难	2	冒险犯难,履险犯难
…成业就	2	功成业就,家成业就
…颜天壤	2	腼颜天壤,靦颜天壤
…个月后	2	一个月后,六个月后
…文经学	2	今文经学,古文经学
…格鲁姆	2	哈格鲁姆,欧格鲁姆
…以千里	2	差以千里,谬以千里
…如神明	2	奉如神明,敬如神明
…冠三军	2	勇冠三军,气冠三军
…动威胁	2	主动威胁,被动威胁
…事不苟	2	临事不苟,遇事不苟
…为祸始	2	不为祸始,福为祸始
…头鼠目	2	獐头鼠目,麞头鼠目
…臣逆子	2	乱臣逆子,贼臣逆子
…气凛然	2	正气凛然,浩气凛然
…得志满	2	意得志满,气得志满
…屈衔冤	2	抱屈衔冤,负屈衔冤
…氏温度	2	华氏温度,摄氏温度
…目共睹	2	众目共睹,有目共睹
…信铃声	2	彩信铃声,短信铃声
…药企业	2	制药企业,医药企业
…风转篷	2	见风转篷,趁风转篷
…矛巨魔	2	断矛巨魔,暗矛巨魔
…无所得	2	一无所得,毫无所得
…捉老鼠	2	狗捉老鼠,马捉老鼠
…态冗余	2	动态冗余,静态冗余
…毛雨血	2	風毛雨血,风毛雨血
…鸣狗盗	2	狐鸣狗盗,鸡鸣狗盗
…债累累	2	血债累累,负债累累
…年之好	2	忘年之好,百年之好
…人义士	2	仁人义士,善人义士
…态万千	2	仪态万千,姿态万千
…日三省	2	一日三省,吾日三省
…治工作	2	政治工作,整治工作
…珠三角	2	大珠三角,泛珠三角
…德星君	2	火德星君,福德星君
…痴不颠	2	半痴不颠,诈痴不颠
…业学校	2	工业学校,职业学校
…岁千秋	2	万岁千秋,百岁千秋
…不投机	2	话不投机,语不投机
…不责众	2	法不责众,罚不责众
…金烁石	2	焦金烁石,燋金烁石
…生害义	2	求生害义,贪生害义
…涛澎湃	2	怒涛澎湃,浪涛澎湃
…空冀北	2	群空冀北,马空冀北
…山五岳	2	三山五岳,四山五岳
…目繁多	2	名目繁多,品目繁多
…态保护	2	动态保护,生态保护
…面之雅	2	一面之雅,半面之雅
…怒难犯	2	众怒难犯,衆怒难犯
…高行洁	2	志高行洁,才高行洁
…衣宰相	2	白衣宰相,黑衣宰相
…盘将军	2	净盘将军,尽盘将军
…目相待	2	刮目相待,括目相待
…可靠性	2	不可靠性,高可靠性
…国青年	2	中国青年,美国青年
…浇铁铸	2	钢浇铁铸,铜浇铁铸
…危下石	2	临危下石,乘危下石
…机可乘	2	无机可乘,有机可乘
…骨之地	2	刺骨之地,埋骨之地
…站设备	2	基站设备,电站设备
…主人公	2	女主人公,男主人公
…竭罍耻	2	瓶竭罍耻,缾竭罍耻
…笑怒駡	2	嘻笑怒駡,嬉笑怒駡
…花世界	2	花花世界,莲花世界
…针走线	2	穿针走线,飞针走线
…手起家	2	白手起家,赤手起家
…餐雨宿	2	風餐雨宿,风餐雨宿
…人一筹	2	胜人一筹,高人一筹
…驰电掣	2	星驰电掣,风驰电掣
…云野鹤	2	孤云野鹤,闲云野鹤
…金不换	2	万金不换,千金不换
…名远扬	2	恶名远扬,臭名远扬
…滨遗老	2	潁滨遗老,颍滨遗老
…碎支离	2	琐碎支离,破碎支离
…以相成	2	适以相成,適以相成
…水摸鱼	2	浑水摸鱼,混水摸鱼
…脆利落	2	乾脆利落,干脆利落
…崩地塌	2	天崩地塌,山崩地塌
…肝凤髓	2	麟肝凤髓,龙肝凤髓
…干夕惕	2	昼干夕惕,朝干夕惕
…求必应	2	所求必应,有求必应
…颜悦色	2	和颜悦色,怡颜悦色
…句绘章	2	稀句绘章,絺句绘章
…地吁天	2	局地吁天,跼地吁天
…上罔下	2	欺上罔下,附上罔下
…能需求	2	功能需求,性能需求
…世取宠	2	哗世取宠,矜世取宠
…风风人	2	以风风人,春风风人
…口交传	2	众口交传,衆口交传
…恶如仇	2	嫉恶如仇,疾恶如仇
…识过人	2	才识过人,胆识过人
…水难收	2	泼水难收,覆水难收
…糠自照	2	然糠自照,燃糠自照
…炎附热	2	攀炎附热,趋炎附热
…层建筑	2	上层建筑,高层建筑
…才器使	2	量才器使,随才器使
…手忙脚	2	忙手忙脚,慌手忙脚
…行形态	2	旅行形态,飞行形态
…非得已	2	事非得已,情非得已
…辛万苦	2	亿辛万苦,千辛万苦
…紫乱朱	2	以紫乱朱,红紫乱朱
…威并用	2	德威并用,恩威并用
…豆塞耳	2	两豆塞耳,双豆塞耳
…高水平	2	更高水平,最高水平
…版要闻	2	三版要闻,二版要闻
…面受敌	2	八面受敌,四面受敌
…西大学	2	山西大学,广西大学
…如鸿毛	2	举如鸿毛,轻如鸿毛
…不拗六	2	三不拗六,四不拗六
…拉尔德	2	博拉尔德,杰拉尔德
…迹萍踪	2	梗迹萍踪,浪迹萍踪
…无虚席	2	坐无虚席,座无虚席
…惊胆落	2	心惊胆落,魂惊胆落
…波荡漾	2	余波荡漾,碧波荡漾
…然屹立	2	傲然屹立,巍然屹立
…而不言	2	知而不言,秘而不言
…转反侧	2	展转反侧,辗转反侧
…上接下	2	承上接下,敬上接下
…理知识	2	地理知识,管理知识
…慨激昂	2	感慨激昂,慷慨激昂
…富救贫	2	劫富救贫,打富救贫
…肚鸡肠	2	小肚鸡肠,鼠肚鸡肠
…而好古	2	信而好古,敏而好古
…鼎拔山	2	举鼎拔山,扛鼎拔山
…情纵欲	2	恣情纵欲,极情纵欲
…今思昔	2	感今思昔,抚今思昔
…作规程	2	工作规程,操作规程
…耳盗钟	2	塞耳盗钟,掩耳盗钟
…杖成龙	2	掷杖成龙,竹杖成龙
…面朝天	2	仰面朝天,素面朝天
…入设备	2	接入设备,输入设备
…杖踢弄	2	毬杖踢弄,球杖踢弄
…中鳞甲	2	胸中鳞甲,腹中鳞甲
…信技术	2	电信技术,通信技术
…优先级	2	多优先级,高优先级
…颜人世	2	腼颜人世,靦颜人世
…立之年	2	当立之年,而立之年
…错例程	2	检错例程,纠错例程
…歌慢舞	2	缓歌慢舞,轻歌慢舞
…襟肘见	2	捉襟肘见,掣襟肘见
…弓卧鼓	2	橐弓卧鼓,櫜弓卧鼓
…车杀马	2	坏车杀马,毁车杀马
…泥扬波	2	淈泥扬波,滑泥扬波
…长梦短	2	夜长梦短,更长梦短
…无音讯	2	杳无音讯,渺无音讯
